start_date,end_date,facility,city,state
01/01/1998,10/01/2001,Monmouth County Correctional Facility,Freehold,New Jersey
09/01/1998,02/01/2002,Southside Reginal Jail,Emporia,Virginia
09/01/1998,02/01/2002,Greensville Correctional Center,Jarratt,Virginia
02/01/2002,09/01/2004,Haynesville Correctional Center,Haynesville,Virginia
09/01/2004,05/01/2015,Lee Adjustment Center,Florence,Arizona
09/01/2004,05/01/2015,Florence Correctional Center,Beattyville,Kentucky
05/01/2005,10/01/2010,West Tennessee Detention Facility,Mason,Tennessee
01/01/2007,12/01/2009,North Fork Correctional Facility,Sayre,Oklahoma
01/01/2009,03/01/2009,Perry Corrections Center,Union Town,Alabama
08/01/2010,05/01/2012,Franklin County Jail,Greenfield,Massachusetts
06/01/2015,07/01/2017,Northlake Correctional Facility,Baldwin,Michigan
07/01/2017,10/01/2018,SCI Camp Hill PA,Camp Hill,Pennsylvania